trade_paths
ETHFI>>>WETH
weETH>>>WHYPE
USDT>>>EURC
EURC>>>ETHFI
WETH>>>weETH
ETHFI>>>weETH
EURC>>>eBTC
WETH>>>EURC
USDT>>>ETHFI
EURC>>>WETH
eBTC>>>USDT
WETH>>>ETHFI
eBTC>>>ETHFI
EURC>>>weETH
USDC>>>eBTC
EURC>>>WHYPE
EURC>>>USDC
USDC>>>ETHFI
EURC>>>USDT
weETH>>>USDC
ETHFI>>>USDC
USDT>>>USDC
eBTC>>>USDC
WETH>>>WHYPE
USDC>>>WHYPE
WHYPE>>>ETHFI
WHYPE>>>eBTC
ETHFI>>>EURC
eBTC>>>weETH
USDC>>>EURC
eBTC>>>WHYPE
ETHFI>>>WHYPE
beHYPE>>>WHYPE
WHYPE>>>WETH
USDC>>>WETH
USDT>>>weETH
weETH>>>USDT
WHYPE>>>beHYPE
USDT>>>eBTC
ETHFI>>>eBTC
WETH>>>eBTC
weETH>>>eBTC
WETH>>>USDT
WETH>>>USDC
weETH>>>WETH
WHYPE>>>USDT
USDT>>>WHYPE
USDC>>>weETH
ETHFI>>>USDT
weETH>>>ETHFI
USDC>>>USDT
WHYPE>>>USDC
weETH>>>EURC
USDT>>>WETH
eBTC>>>WETH
